int_id,200907,200910,201001,201004,201007,201010,201101,201104,201107,201110,201201,201204,201207,201210,201301,201304,201307,201310,201401,201404,201407,201410,201501,201504,201507,201510,201602,201606,201610,201702,201706,201710,201802,201806,201810,201812,201902,201906,201910,202002,202006,202010,202102,202106,202110,202202,202206,202210,202302,202306,202310,200907_sm,200910_sm,201001_sm,201004_sm,201007_sm,201010_sm,201101_sm,201104_sm,201107_sm,201110_sm,201201_sm,201204_sm,201207_sm,201210_sm,201301_sm,201304_sm,201307_sm,201310_sm,201401_sm,201404_sm,201407_sm,201410_sm,201501_sm,201504_sm,201507_sm,201510_sm,201602_sm,201606_sm,201610_sm,201702_sm,201706_sm,201710_sm,201802_sm,201806_sm,201810_sm,201812_sm,201902_sm,201906_sm,201910_sm,202002_sm,202006_sm,202010_sm,202102_sm,202106_sm,202110_sm,202202_sm,202206_sm,202210_sm,202302_sm,202306_sm,202310_sm
0,99,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,3,3,3,99,3,4,3,2,2,3,2,3,2,3,3,3,3,3,3,-0.002771606,-0.003356342,-0.005660482,0.001539136,0.003571405,0.000772719,-0.004167721,-0.007352972,-0.004893788,-0.00211875,-0.005910481,-0.008928376,-0.008557909,-0.005260708,-0.006483355,-0.007805728,-0.003889459,-0.003667805,0.009305139,0.020751583450521322,0.004349738,0.002892081,-0.000266767,-0.004301479,-0.004657167,-0.003579989,-0.000143498,-0.002035885,-0.000564194,-0.006468538,-0.005536752,-0.003659502,-0.007870386,-0.004872748,0.003319047,-0.00181252,-0.004351816,0.001980418,0.012662845664914175,0.018564408308854828,0.010602057456485474,0.008845531,0.007135049,0.004840247,-0.00309474,-0.003627105,0.001417578,0.002733087,0.010227493263486431,-0.000836856,
1,99,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,99,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.002839487,-0.004808991,-0.004070721,0.008018468,0.007705187,0.003151845,-0.004135399,-0.008090465,-0.007760843,-0.004104274,-0.00759269,-0.010226212,-0.011625725,-0.008277427,-0.010309515,-0.005700116,-0.001960343,-0.000908944,0.011669298407630344,0.010361120204885103,-0.00236622,0.000683892,-0.002276452,-0.007759427,-0.009286673,-0.008669032,-0.006873272,0.00017215,-0.002165752,-0.006902827,-0.007556581,-0.004638558,-0.008486367,-8.89E-05,0.00378092,-0.00167041,-0.005036822,0.005362263,0.016212876316020634,0.014440586579371669,0.010604000101997425,0.008754175,0.007062171,0.008040687,-0.003772073,-0.007076755,0.004717461,0.006162377,0.020416261103857143,0.000472043,
2,99,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,3,2,3,3,99,2,3,2,2,2,2,2,3,2,3,3,3,3,3,3,-0.011525742,-0.017354377,-0.010864448,0.006143651,0.00229044,-0.004753939,-0.004795555,-0.007447747,-0.015522683,-0.007961492,-0.00580329,-0.007887328,-0.016872381,-0.008708294,-0.009009299,0.000264591,-0.004338277,0.002038918,0.010281035995974793,0.004031198,-0.010660434,-0.00196324,-0.001943207,-0.004446086,-0.015844687,-0.016328167,-0.005768105,0.00584298,-0.001643107,-0.001903627,-0.013698175,-0.013744084,-0.003620791,0.007926023,6.126263178884723e-05,0.00103172,-0.004119421,0.015111893452213799,0.009694453,0.014149843896647262,0.022201066775443496,0.006563533,0.009709212,0.021641691,0.00517154,-0.007779066,0.009758227,0.004548001,0.057858422236964364,0.012083466936785123,
3,99,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,2,3,4,3,3,3,99,3,4,3,2,2,3,2,3,2,3,3,3,3,3,3,-0.005698913,-0.009547447,-0.011330945,0.006792628,0.006090551,0.002992883,-0.006600663,-0.011061461,-0.011073249,-0.002844833,-0.00936235,-0.012878883,-0.014284054,-0.012044105,-0.014970909,-0.009102539,-0.004086571,-0.000183673,0.014408513886556928,0.003769184,-0.007859026,-0.00331442,-0.00633111,-0.011298761,-0.012568454,-0.011705481,-0.013251997,-0.001114693,0.00135279,-0.007053819,-0.004964643,-0.004312684,-0.010714007,-0.003656334,0.005320582,-0.00260377,-0.00621848,0.007785075,0.030580828890629887,0.018157863,0.00941049,0.015840979,0.010681770044451139,0.013232053819529934,-0.00533056,-0.004706545,0.007672834,0.014254144257424238,0.039602445,0.003541654,
4,99,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,99,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.014543057,-0.018877079,-0.011162981,0.00318364,0.002042844,0.000336731,-0.005834802,-0.008313553,-0.015278165,-0.007553948,-0.007711811,-0.009291469,-0.015734051,-0.013499717,-0.013132514,-0.00411754,-0.005206175,0.004306012,0.013889766180923633,0.003462945,-0.007198569,-0.001857182,-0.002673201,-0.006605706,-0.015706026,-0.016928135,-0.009319787,0.001433754,-0.000916779,-0.004108437,-0.004219178,-0.005724227,-0.005195388,0.004762029,0.005482685,0.000789239,-0.000949785,0.006722343,0.017508197214024558,0.016865676772207572,0.016567169745954187,0.006933027,0.007957864,0.019377589727250438,0.000589136,-0.008146416,0.012876680536338914,0.008688603,0.049147620927900676,0.011089813293745886,
5,99,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,3,2,3,3,99,2,3,2,2,2,2,2,3,2,3,3,3,3,3,3,-0.018488306,-0.029773609,-0.016452446,0.007455309,0.010959480775102053,-0.003675672,-0.003867528,-0.006864372,-0.017133602,-0.007234585,-0.006401603,-0.008142289,-0.016114637,-0.007217364,-0.009498387,0.000165139,-0.005504424,0.004583917,0.012952561689806835,0.003815175,-0.010908225,-0.001108614,-0.001141397,-0.00471087,-0.020887425,-0.023297979,-0.007218261,0.00693592,-0.001666874,-0.003028255,-0.009358819,-0.0123824,-0.002714977,0.008429795,0.004879959,0.002773553,-0.004539882,0.016552300496521045,0.010966099314308444,0.013721555591325122,0.022984879,0.005775648,0.004741001,0.027685923,0.00588829,-0.011280854,0.011327277659913721,0.005188749,0.068996952,0.012530187582026946,
6,99,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,3,3,3,99,3,4,3,2,2,3,2,3,2,3,3,3,3,3,3,-0.000383456,-0.001572743,-0.005265507,0.000621705,0.001773092,-0.000168465,-0.004960855,-0.00754536,-0.00521403,-0.001375536,-0.005731021,-0.008578469,-0.008006559,-0.005182888,-0.007580097,-0.007272854,-0.003609942,-0.003626423,0.011590818746743645,0.017781375,0.001447574,0.000235613,-0.003658436,-0.00626912,-0.005936878,-0.00409167,-0.003195525,-0.001711674,-1.54E-06,-0.006206465,-0.006414933,-0.004123974,-0.00879989,-0.001947415,0.005090807,-0.00265267,-0.003465931,0.001957393,0.013356563573899166,0.015819165,0.008809322,0.005575155,0.005557387,0.004152408,-0.002466695,-0.003331331,6.738223863720586e-06,0.003626614,0.013532384,0.002427875,
7,99,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,99,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.004820857,0.000377401,-0.003319564,0.009402202,0.007447098,0.001892824,-0.003309276,-0.007061308,-0.005769515,-0.001742364,-0.005182257,-0.009213725,-0.00735161,-0.004184388,-0.007379512,-0.0079817,-0.002254982,-0.002561897,0.012495461196522194,0.018769359236466616,0.003201247,0.002074441,-0.001002023,-0.005585032,-0.005019542,-0.003707945,-0.005279049,-0.002492875,-0.00018845,-0.006617331,-0.00703359,-0.004933874,-0.009978563,-0.004477169,0.002408133,-0.004533275,-0.004130227,0.002718496,0.013980261250981063,0.010327357832284133,0.007119303,0.007073422,0.004141379,0.002294271,-0.006233402,-0.005037977,0.000690368,0.003737551,0.006268141,-0.000830998,
8,99,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,3,3,3,99,3,4,3,2,2,3,2,3,2,3,3,3,3,3,3,-0.000347693,-0.001295075,-0.003003319,0.001042475,0.002675648,0.00160508,-0.001769507,-0.004315443,-0.003273677,-0.000637447,-0.003403166,-0.005318041,-0.005267072,-0.003439047,-0.005654885,-0.004668171,-0.001925346,-0.002082285,0.002390223,0.001832046,-0.00248162,-0.001871541,-0.003156067,-0.005234909,-0.005670855,-0.004254682,-0.005723017,-0.003027505,-0.000671409,-0.00392853,-0.004481786,-0.002387044,-0.004695184,-0.00143557,0.000480742,-0.003487523,-0.003879598,0.000743858,0.010478447130732628,0.012820866563297943,0.006716153,0.004518975,0.004338029,0.003787767,-0.000720231,-0.003187628,0.001938976,0.005245837,0.015777963164084093,0.003795739,
9,99,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,99,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.006261608,-0.007756271,-0.005974963,0.002646535,0.002177004,0.002754097,-0.001000581,-0.003762224,-0.006784923,-0.002049056,-0.003474572,-0.004967417,-0.007602696,-0.00575305,-0.006458329,-0.00353021,-0.003214074,-0.000217872,0.002843695,-0.001364208,-0.004333061,-0.001890971,-0.001292201,-0.004390003,-0.006168788,-0.008067848,-0.006234531,-0.00106095,0.000862786,-0.002795144,-0.001659247,-0.001889556,-0.003094886,0.000102373,-0.001005207,-0.002362413,-0.002688661,0.002622799,0.013773451027977265,0.010567149467040139,0.006839124,0.002727523,0.006013715,0.007899586,0.000548657,-0.003327443,0.009253346,0.008729486,0.024216682259466868,0.006314375,
